Fecha de Presentacion;Proyecto;Codigo;Proponente(s);Cargo;Comision;Estado;Total_Propuestas;;;
21/7/2022;Proyecto de Ley Orgánica Reformatoria al Código Orgánico del Ambiente;Cod. AN-2022-2364 / 422800;FARINANGO QUILUMBAQUIN DINA MARIBEL;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Biodiversidad y Recursos Naturales;Archivado / ;13;;;
21/7/2022;Proyecto de Ley Orgánica para el Fortalecimiento del Sistema de Información Nacional de Salud y Control de Conflictos de Interés Reformatoria a la Ley Orgánica de Salud;Cod. AN-2022-2346 / 422840;VITERI JIMENEZ NATHALIE MARIA;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión del Derecho a la Salud y Deporte;En trámite / Difusión para Primer Debate;8;;;
20/7/2022;Proyecto de Ley Reformatoria al Código Orgánico General de Procesos - COGEP en sus Artículos 104 y 105;Cod. AN-2022-2432 / 422778;CORREA DELGADO PIERINA SARA MERCEDES;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;5;;;
19/7/2022;Proyecto de Ley Orgánica para la Rehabilitación Social Efectiva y una Sociedad de Paz;Cod. AN-2022-2356 / 422723;VINUEZA SALINAS JOHN HENRY, PESANTEZ SALTO DIANA ELIZABETH;ASAMBLEISTAS / ASAMBLEA NACIONAL;No Asignada;No Calificado / Archivado;1;;;
19/7/2022;Proyecto de Ley Orgánica de Derechos Idiomáticos de los Pueblos y Nacionalidades Indígenas;Cod. AN-2022-2357 / 422683;CHIMBO CHIMBO SEGUNDO JOSE;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad;En trámite / Revisión en Comisión para Segundo Debate;7;;;
18/7/2022;Proyecto de Ley Orgánica Reformatoria al Código Orgánico de Organización Territorial, Autonomía y Descentralización;Cod. AN-2022-2355 / AN-MGLK-2022-0111-M;MIRANDA GILER LYNE KATIUSKA;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Gobiernos Autónomos Descentralización Competencias y Organización Territorio;En trámite / Difusión para Segundo Debate;4;;;
14/7/2022;Proyecto de Reforma a la Ley Orgánica de la Función Legislativa;Cod. AN-2022-2385 / 422494;SACANCELA QUISHPE BLANCA LUCRECIA;ASAMBLEISTA / ASAMBLEA NACIONAL ;Comisión de Justicia y Estructura del Estado;En trámite / Difusión para Primer Debate;3;;;
14/7/2022;Proyecto de Ley Reformatoria Integral al Código Orgánico Integral Penal y Otro Cuerpos Legales que Garantiza la Tutela Judicial Efectiva y la Reparación Integral a Víctimas;Cod. AN-2022-2416 / 422447;NARVAEZ GARZON RAMIRO VLADIMIR;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Difusión para Segundo Debate;4;;;
14/7/2022;Proyecto de Ley Orgánica Reformatoria del Código Orgánico Integral Penal;Cod. AN-2022-2396 / 422452;MOLINA ALVAREZ GISSELLA CECIBEL;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Difusión para Segundo Debate;5;;;
14/7/2022;Proyecto de Ley Reformatoria a la Ley Notarial;Cod. AN-2022-2438 / 422489;LUNA AREVALO BLASCO REMIGIO;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;8;;;
14/7/2022;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de la Función Legislativa;Cod. AN-2022-2389 / 422490;CADENA CARRERA MARLON WULESTER;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Difusión para Primer Debate;5;;;
13/7/2022;Proyecto de Ley Orgánica Reformatoria al Código Orgánico de la Economía Social de los Conocimientos, Creatividad e Innovación y otros Cuerpos Normativos para la Defensa de los Pequeños y Medianos Productores;Cod. AN-2022-2362 / 422396;FARINANGO QUILUMBAQUIN DINA MARIBEL;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales;En trámite / Difusión para Primer Debate;13;;;
13/7/2022;Proyecto de Ley de Armas, Municiones, Explosivos y Accesorios;Cod. AN-2022-2384 / 422409;JURADO BEDRAN XAVIER ANDRES;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Soberanía, Integración y Seguridad Integral;Publicado / ;8;;;
13/7/2022;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Salud para la Promoción, Prevención y Atención Integral en Salud Mental a Niñas, Niños y Adolescentes;Cod. AN-2022-2382 / 422385;PLUAS ARIAS NELLY ZOLANDA;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión del Derecho a la Salud y Deporte;En trámite / Difusión para Veto Parcial;4;;;
12/7/2022;Proyecto de Ley Orgánica para la Atención y Protección a la Salud Emocional,;;;;;;;;;
Física y Psicológica y para la Jubilación Especial de Personas Cuidadoras de Personas;;;;;;;;;;
con Enfermedades Crónicas; Catastróficas;" Huérfanas y con Discapacidad Severa""";Cod. AN-2022-2383 / AN-LRLJ-2022-0087-M;LENIN JOSE LARA RIVADENEIRA;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión del Derecho a la Salud y Deporte;En trámite / Revisión en Comisión para Primer Debate;3;;
12/7/2022;Proyecto de Ley de Reforma al Artículo 383 y al Artículo 386 del Código Orgánico Integral Penal para Garantizar el Principio de Proporcionalidad previsto en el Art. 76 numeral 6 de la Constitución de la República;Cod. AN-2022-2353 / AN-LRLJ-2022-0089-M;LENIN JOSE LARA RIVADENEIRA;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;3;;;
12/7/2022;Proyecto de Ley Orgánica de Participación de las Rentas del Estado a Favor de los Gobiernos Autónomos Descentralizados por Explotación o Industrialización de Recursos Naturales no Renovables en su Territorio;Cod. AN-2022-2379 / AN-LRLJ-2022-0088-M;LENIN JOSE LARA RIVADENEIRA;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Gobiernos Autónomos Descentralización Competencias y Organización Territorio;En trámite / Difusión para Primer Debate;3;;;
12/7/2022;Proyecto de Ley Orgánica Reformatoria del Código Orgánico Monetario y Financiero para Impulsar la Competencia Extranjera en el Sistema Financiero Nacional;Cod. AN-2022-2358 / 422318;PAZMIÑO ARREGUI MIREYA KATERINE;ASAMBLEISTA / ASAMBLEA NACIONAL ;Comisión de Régimen Económico y Tributario y su Regulación y Control;En trámite / Difusión para Primer Debate;5;;;
12/7/2022;Proyecto de Ley Notarías Digitales;Cod. AN-2022-2352 / 422335;VINUEZA SALINAS JOHN HENRY;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;5;;;
12/7/2022;Proyecto Reformatorio a la Ley Orgánica de la Función Legislativa para Garantizar la Participación de las y los Asambleístas Cuya Lengua Materna no es el Castellano mediante Intérpretes Simultáneos;Cod. AN-2022-2413 / 422324;ULCUANGO FARINANGO RICARDO;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Difusión para Primer Debate;5;;;
12/7/2022;Proyecto de Ley Scooter Seguro;Cod. AN-2022-2354 / 422337;VINUEZA SALINAS JOHN HENRY;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Desarrollo Económico, Productivo y la Microempresa;En trámite / Revisión en Comisión para Primer Debate;5;;;
11/7/2022;Proyecto de Ley Orgánica Reformatoria al Código Orgánico Integral Penal para la Rehabilitación Integral y Reinserción Social de las Personal Privadas de Libertad;Cod. AN-2022-2351 / 422243;RUIZ JACOME MARIO FERNANDO;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;7;;;
7/7/2022;Proyecto de Ley Reformatoria a la Ley de Seguridad Social;Cod. AN-2022-2462 / 422110;VANEGAS CORTAZAR RICARDO XAVIER;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión del Derecho al Trabajo y a la Seguridad Social;En trámite / Revisión en Comisión para Primer Debate;10;;;
7/7/2022;Proyecto de Ley Reformatoria a la Ley Orgánica de la Contraloría General del Estado;Cod. AN-2022-2365 / 422120;MENDOZA HURTADO EDUARDO ISRAEL;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;4;;;
7/7/2022;Proyecto de Ley Orgánica para la Atención Integral de Personas Adultas Mayores en Centros Gerontológicos;Cod. AN-2024-2847 / 422108;ONOFA CARDENAS DANIEL SIGIFREDO;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad;Archivado / Registro de Objeción Total;2;;;
7/7/2022;Proyecto de Ley Orgánica para la Manifestación y Protesta Pacífica y toda Forma de Expresión Ideológica o Cultural;Cod. AN-2022-2560 / 422107;ALMEIDA MORAN LUIS FERNANDO;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad;En trámite / Revisión en Comisión para Primer Debate;7;;;
7/7/2022;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de la Función Legislativa;Cod. AN-2022-2463 / 422128;MOLINA MENENDEZ MARIA GABRIELA;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Difusión para Primer Debate;4;;;
5/7/2022;Proyecto de Ley Orgánica Reformatoria de Varias Leyes para la Prevención de la Adicción a las Drogas y Rehabilitación Social de las Personas Dependientes de las Mismas;Cod. AN-2022-2494 / 421962;WEBER MORENO GERALDINE;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión del Derecho a la Salud y Deporte;En trámite / Revisión en Comisión para Primer Debate;6;;;
5/7/2022;Proyecto de Ley Orgánica Reformatoria al Código Orgánico de Organización Territorial, Autonomía y Descentralización (COOTAD);Cod. AN-2022-2350 / AN-VOLD-2022-0081-M;VEGA OLMEDO LIGIA DEL COSUELO;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Gobiernos Autónomos Descentralización Competencias y Organización Territorio;En trámite / Difusión para Segundo Debate;1;;;
5/7/2022;Proyecto de Ley Orgánica Reformatoria al Código Orgánico de las Entidades de Seguridad Ciudadana y Orden Público;Cod. AN-2022-2461 / 421961;VANEGAS CORTAZAR RICARDO XAVIER;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Soberanía, Integración y Seguridad Integral;En trámite / Revisión en Comisión para Primer Debate;10;;;
5/7/2022;Proyecto de Ley Reformatoria a la Ley Orgánica de la Función Legislativa;Cod. AN-2022-2381 / 421979;RAFFO GUEVARA ANA MARIA;ASAMBLEISTA / ASAMBLEA NACIONAL ;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;2;;;
1/7/2022;Proyecto de Ley Orgánica Reformatoria al Decreto-Ley Orgánica para el Desarrollo Económico y Sostenibilidad Fiscal Tras la Pandemia Covid-19;Cod. AN-2022-2338 / AN-JGCA-2022-0036-M;JARAMILLO GOMEZ CESAR ALEJANDRO;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Desarrollo Económico, Productivo y la Microempresa;En trámite / Difusión para Primer Debate;6;;;
23/6/2022;Proyecto de Ley de Debida Diligencia Empresarial, Transparencia y Responsabilidad Corporativa (As. Johanna Ortiz;Cod. AN-2022-2363 / AN-OVJC-2022-0083-M;ORTIZ VILLAVICENCIO JOHANNA CECIBEL;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Relaciones Internacionales y Movilidad Humana;En trámite / Revisión en Comisión para Primer Debate;10;;;
16/6/2022;Proyecto de Ley de Barrios;Cod. AN-2022-2327 / 421360;BACIGALUPO BUENAVENTURA DALTON, CADENA CARRERA MARLON, ONOFA CARDENAS DANIEL, FRIAS BORJA EDWIN;ASAMBLEISTAS / ASAMBLEA NACIONAL;Comisión de Gobiernos Autónomos Descentralización Competencias y Organización Territorio;En trámite / Difusión para Primer Debate;1;;;
9/6/2022;Proyecto de Ley Orgánica para Fortalecer la Seguridad Social mediante la;;;;;;;;;
"Dación en Pago de las Acciones del Banco del Pacífico""";Cod. AN-2022-2318 / 421148;MUÑOZ LOPEZ CHRISTIAN PABEL;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Régimen Económico y Tributario y su Regulación y Control;En trámite / Difusión para Primer Debate;3;;;;
9/6/2022;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Cultura para Beneficio de Promotores, Gestores y Artistas;Cod. AN-2022-2337 / AN-EADF-2022-0053-M;ESPARZA AGUIRRE DIEGO FERNANDO;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales;Archivado / Registro de Objeción Total;9;;;
9/6/2022;Proyecto de Ley de Reforma al Código Orgánico del Ambiente;Cod. AN-2024-3013 / 421150;MAYORGA TAPIA ROSA BELEN, ALVARADO ESPINEL HUMBERTO;ASAMBLEÍSTAS / ASAMBLEA NACIONAL;Comisión de Biodiversidad y Recursos Naturales;Archivado / Registro de Objeción Total;2;;;
9/6/2022;Proyecto de Ley Orgánica Reformatoria al Código Integral Penal;Cod. AN-2022-2320 / 421138;ROJAS CUENCA FREDY RAMIRO, CERVANTES VILLALBA LUIS PATRICIO;ASAMBLEISTAS / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Difusión para Segundo Debate;1;;;
9/6/2022;Proyecto de Reforma al Código Orgánico Integral Penal;Cod. AN-2022-2322 / 421143;SANTOS SABANDO XAVIER ADOLFO;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Difusión para Segundo Debate;6;;;
9/6/2022;Proyecto de Ley Reformatoria a la Ley de Turismo;Cod. AN-2022-2393 / 421102;RUIZ JACOME MARIO FERNANDO;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Desarrollo Económico, Productivo y la Microempresa;Publicado / ;7;;;
9/6/2022;Proyecto de Ley Orgánica Interpretativa al Artículo 8 del Mandato;;;;;;;;;
"Constituyente N° 2""";Cod. AN-2022-2339 / AN-LABR-2022-0073-M;LUNA AREVALO BLASCO REMIGIO;ASAMBLEISTA / ASAMBLEA NACIONAL ;Comisión del Derecho al Trabajo y a la Seguridad Social;En trámite / Revisión en Comisión para Primer Debate;8;;;;
8/6/2022;Proyecto de Ley Orgánica Reformatoria de Ley Orgánica de Educación Superior;Cod. AN-2022-2341 / 421071;GUANOLUISA FARINANGO  AMPARO ROCIO;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales;Archivado / ;3;;;
8/6/2022;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de la Función Legislativa y al Código Orgánico Monetario y Financiero;Cod. AN-2022-2345 / 421061;PEREIRA CHAMBA DARWIN STALIN;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Difusión para Segundo Debate;6;;;
8/6/2022;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Telecomunicaciones;Cod. AN-2022-2336 / 421083;GUAMAN RIVERA AUGUSTO ALEJANDRO;ASAMBLEISTA / ASAMBLEA NACIONAL;No Asignada;Retirado / Registro del Proyecto;6;;;
7/6/2022;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica del Servicio;;;;;;;;;
Público de Energía Eléctrica; para el Financiamiento de Planes; Programas; Proyectos y;;;;;;;
"Políticas de Desarrollo Territorial Sostenible en la Circunscripción Territorial""";Cod. AN-2022-2335 / AN-GRAA-2022-0034-M;GUAMAN RIVERA AUGUSTO ALEJANDRO;ASAMBLEISTA / ASAMBLEA NACIONAL;No Asignada;Retirado / Revisión en el Consejo de Administración Legislativa;6;;;;
7/6/2022;Proyecto de Ley Orgánica de Defensa de la Propiedad Estatal Sobre el;;;;;;;;;
Banco del Pacífico y la Creación de la Corporación Financiera Ecuatoriana y la Creación;;;;;;;;;;
"del Banco Ecuatoriano de Fomento""";Cod. AN-2022-2344 / 420975;SANCHEZ GALLEGOS BERTHA, CALO CAISALITIN PETER, RUIZ JACOME MARIO;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Régimen Económico y Tributario y su Regulación y Control;En trámite / Revisión en Comisión para Primer Debate;1;;;;
3/6/2022;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de la Función;;;;;;;;;
"Legislativa""";Cod. AN-2022-2331 / 420819;SANTOS SABANDO XAVIER ADOLFO;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Difusión para Segundo Debate;6;;;;
3/6/2022;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de;;;;;;;;;
Telecomunicaciones y Otros Cuerpos Normativos para Garantizar el Acceso a la;;;;;;;;;;
"Conectividad y Alfabetización Digital""";Cod. AN-2022-2332 / 420846;PLACENCIA TAPIA LUCIA SHADIRA;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Desarrollo Económico, Productivo y la Microempresa;En trámite / Revisión en Comisión para Segundo Debate;12;;;;
2/6/2022;Proyecto de Ley Orgánica de Discapacidades;Cod. AN-2022-2330 / 420762;MENDOZA HURTADO EDUARDO ISRAEL;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad;En trámite / Analisis de la respuesta emitida por la Corte Constitucional;4;;;
2/6/2022;Proyecto de Ley de la Abogacía del Ecuador;Cod. AN-2022-2314 / 420811;VANEGAS CORTAZAR RICARDO XAVIER;ASAMBLEISTA / ASAMBLEA NACIONAL ;No Asignada;Retirado / Registro del Proyecto;10;;;
2/6/2022;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Prevención, Detección y Erradicación del Delito de Lavado de Activos y del Financiamiento de Delitos;Cod. AN-2024-2981 / 418664;VANEGAS CORTAZAR RICARDO XAVIER;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Régimen Económico y Tributario y su Regulación y Control;Publicado / ;10;;;
1/6/2022;Proyecto de Ley de Creación de la Organización Nacional Antidopaje del;;;;;;;;;
"Ecuador - ONADE""";Cod. AN-2022-2329 / 420676;PLAZA GOMEZ DE LA TORRE MARIA JOSE;ASAMBLEISTA / ASAMBLEA NACIONAL;No Asignada;No Calificado / Archivado;1;;;;
1/6/2022;Proyecto de Ley de Reformatoria a la Ley Orgánica de Navegación, Gestión;;;;;;;;;
"de la Seguridad y Protección Marítima y Fluvial en los Espacios Acuáticos""";Cod. AN-2022-2324 / 420693;AQUINO MERCHAN MARIA DEL CARMEN;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Biodiversidad y Recursos Naturales;En trámite / Revisión en Comisión para Primer Debate;1;;;;
1/6/2022;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de;;;;;;;;;
"Discapacidades""";Cod. AN-2022-2326 / 420669;GUAMANI VASQUEZ LUDVIA YESEÑA;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad;En trámite / Analisis de la respuesta emitida por la Corte Constitucional;7;;;;
31/5/2022;Proyecto de Ley Orgánica Reformatoria a Varias Leyes para la;;;;;;;;;
"Desconcentración Efectiva del Estado""";Cod. AN-2022-2316 / 420616;LUCERO SISA RAFAEL, MOREIRA CORDOVA JOHANNA, ENRRIQUEZ JAYA ISABEL;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Difusión para Primer Debate;1;;;;
31/5/2022;Proyecto Reformatorio al Código Orgánico Integral Penal (a los Artículos;;;;;;;;;
"189 y 196 en los cuales se encuentran normados los delitos de Robo y Hurto)""";Cod. AN-2022-2310 / 420618;PINTO DAVILA JORGE WASHINGTON;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;6;;;;
31/5/2022;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica Reformatoria y al;;;;;;;;;
Código Orgánico de la Economía Social de los Conocimientos; Creatividad e Innovación;;;;;;;;;
que regula el Financiamiento y Facilidades de Pago en Becas; Crédito Educativo y;;;;;;;;;
"Ayudas Económi""";Cod. AN-2022-2313 / 420632;CERVANTES VILLALBA LUIS PATRICIO;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales;En trámite / Revisión en Comisión para Primer Debate;3;;;;
31/5/2022;Proyecto de Ley Orgánica Reformatoria a Varias Leyes para Garantizar la;;;;;;;;;
Correcta Actuación de los Agentes del Orden Público en Cumplimiento de su Deber y;;;;;;;;;;
"Tipificar el Terrorismo de Estado (LAWFARE)""";Cod. AN-2022-2333 / 420638;ALMEIDA MORAN LUIS FERNANDO;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Difusión para Segundo Debate;7;;;;
31/5/2022;Proyecto de Ley para la Creación del Sistema Nacional de Prevención de;;;;;;;;;
"Sustancias Estupefacientes""";Cod. AN-2022-2312 / 420619;PINTO DAVILA JORGE WASHINGTON;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión del Derecho a la Salud y Deporte;En trámite / Revisión en Comisión para Primer Debate;6;;;;
31/5/2022;Proyecto de Ley Reformatoria a la Ley Orgánica de Discapacidades;Cod. AN-2022-2321 / 420643;MARCILLO RUIZ LUIS ANIBAL;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad;En trámite / Analisis de la respuesta emitida por la Corte Constitucional;4;;;
31/5/2022;Proyecto de Ley Orgánica Reformatoria del Artículo 139 del Código Orgánico General de Procesos, en la Caducidad de la Boleta de Apremio Personal en Materia de Alimentos;Cod. AN-2022-2328 / AN-OOAM-2022-0075-M;ORTIZ OLAYA AMADA MARIA;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;6;;;
31/5/2022;Proyecto de Ley Orgánica Reformatoria al Código Orgánico Integral Penal;;;;;;;;;
"sobre los Delitos de Abigeato y Receptación""";Cod. AN-2022-2309 / 420602;FARINANGO QUILUMBAQUIN DINA MARIBEL;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Difusión para Segundo Debate;13;;;;
31/5/2022;Proyecto de Ley Orgánica Reformatoria a Diversos Cuerpos Legales para el;;;;;;;;;
Acceso al Primer Empleo; Empleo Juvenil; Empleo de Mujeres y Empleo a Grupos;;;;;;;;
"Vulnerables (Ley para Equidad Laboral)""";Cod. AN-2022-2334 / 420644;FREIRE VERGARA VANESSA LORENA;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión del Derecho al Trabajo y a la Seguridad Social;En trámite / Difusión para Segundo Debate;3;;;;
31/5/2022;Proyecto de Ley Orgánica Reformatoria al Código Orgánico Administrativo que Viabiliza la Desconcentración (As. Sandra Sánchez / 420615);Cod. AN-2022-2311 / 420615;SANCHEZ URGILES SANDRA SOFIA;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;5;;;
27/5/2022;Proyecto de Ley Orgánica Reformatoria del Código Orgánico de;;;;;;;;;
Organización Territorial;" Autonomía y Descentralización""";Cod. AN-2022-2308 / 420474;ARCE PLUAS ALEXANDRA MANUELA;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Gobiernos Autónomos Descentralización Competencias y Organización Territorio;En trámite / Difusión para Segundo Debate;3;;;
25/5/2022;Proyecto de Ley Orgánica de las Comunas, Comunidades, Pueblos y;;;;;;;;;
"Nacionalidades""";Cod. AN-2022-2307 / 420347;MEDINA QUIZHPE MANUEL ASUNCION;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad;En trámite / Revisión en Comisión para Segundo Debate;12;;;;
25/5/2022;Proyecto de Ley para Regular los Precios de los Productos de Primera;;;;;;;;;
Necesidad;" dentro de la Provincia de Galápagos""";Cod. AN-2022-2304 / AN-RCFR-2022-0035-M;ROJAS CUENCA FREDY RAMIRO;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Biodiversidad y Recursos Naturales;En trámite / Revisión en Comisión para Primer Debate;2;;;
25/5/2022;Proyecto de Ley Orgánica Reformatoria a Varias Leyes respecto a la;;;;;;;;;
"Inserción Laboral de los Jóvenes e Igualdad de Trato en el Sistema Laboral""";Cod. AN-2022-2305 / 420328;HOLGUIN NARANJO  MARCELA PRISCILA;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión del Derecho al Trabajo y a la Seguridad Social;En trámite / Difusión para Segundo Debate;32;;;;
25/5/2022;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de la Función;;;;;;;;;
"Legislativa""";Cod. AN-2022-2306 / 420330;MUÑOZ LÓPEZ CHRISTIAN PABEL;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Difusión para Segundo Debate;5;;;;
24/5/2022;Proyecto de Ley Orgánica Reformatoria al Código Orgánico Integral Penal;Cod. AN-2022-2303 / 420323;TORRES MACHUCA ÁNGEL BENIGNO;DEFENSOR PÚBLICO GENERAL DEL ESTADO, ENCARGADO / DEFENSORÍA PÚBLICA;No Asignada;En trámite / Revisión en el Consejo de Administración Legislativa;2;;;
19/5/2022;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de la Función;;;;;;;;;
"Legislativa""";Cod. AN-2022-2302 / 420153;HOLGUIN NARANJO  MARCELA PRISCILA;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Difusión para Segundo Debate;32;;;;
18/5/2022;Proyecto de Ley Orgánica Reformatoria a Varios Cuerpos Legales para el;;;;;;;;;
"Fortalecimiento y Desarrollo de las Organizaciones de la Economía Popular y Solidaria""";Cod. AN-2022-2300 / AN-ABMF-2022-0089-M;ASTUDILLO BARREZUETA MARIA FERNANDA;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Desarrollo Económico, Productivo y la Microempresa;Publicado / ;3;;;;
18/5/2022;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de la Función;;;;;;;;;
"Legislativa""";Cod. AN-2022-2297 / 420051;SANCHEZ URGILES SANDRA SOFIA;ASAMBLEISTA / ASAMBLEA NACIONAL ;Comisión de Justicia y Estructura del Estado;En trámite / Difusión para Segundo Debate;5;;;;
18/5/2022;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica del Sistema;;;;;;;;;
Nacional de Contratación Pública;" COMPLIANCE""";Cod. AN-2022-2299 / 420091;JURADO BEDRAN XAVIER ANDRES;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Régimen Económico y Tributario y su Regulación y Control;En trámite / Revisión en Comisión para Primer Debate;8;;;
18/5/2022;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Educación;;;;;;;;;
